,Bank,Credit Type,Annual Percent,Term,Quantity,More Info Link
0,Tenge Bank,Haydalgan avtomobillar,"

25.9 %

Foiz stavkasi
","
4 yil ","
250 000 000dan - 300 000 000 so'mgacha ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://tengebank.uz/ru/credit/avtokredit-na-vtorichnom-rynke
1,Turon bank,Avtokredit,"

24.9 %

Foiz stavkasi
","
4 yil ","
Ko'rsatilmagan ",/uz/credit/avtokredity
2,Turon bank,Mikroqarz,"

29 %

Foiz stavkasi
","
3 yil ","
20 000 000 so'mgacha ",/uz/credit/mikrozaym19012
3,Turon bank,Ta'lim krediti,"

14 %

Foiz stavkasi
","
7.5 yil ","
Ko'rsatilmagan ",/uz/credit/obrazovatelnye-kredity-uz-ta-lim-krediti
4,Asia Alliance Bank,Avtokredit,"

22dan - 24 % gacha 
Foiz stavkasi
","
1 yil - 4 yil ","
400 000 000 so'mgacha ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/avtokredit/
5,Turon bank,Klinikada davolanish hamda sanatoriyda dam olish uchun kredit,"

27 %

Foiz stavkasi
","
3 yil ","
50 000 000 so'mgacha ",/uz/credit/kredit-na-lechenie-v-klinike-i-otdykh-v-sanatorii
6,Turon bank,Onlayn mikroqarz,"

33 %

Foiz stavkasi
","
1 yil ","
10 000 000 so'mgacha ",/uz/credit/onlayn-mikrozaym-112
7,Tenge Bank,Unumli avtokredit,"

6.9dan - 23.5 % gacha 
Foiz stavkasi
","
4 yil ","
400 000 000 so'mgacha ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://tengebank.uz/ru/credit/vygodnyj-avtokredit
8,MKBank,Onlayn mikroqarz,"

24 %

Foiz stavkasi
","
3 oy ","
1 500 000 so'mgacha ",/uz/credit/onlayn-mikrozaym2
9,Ipoteka bank,Onlayn mikroqarz,"

26 %

Foiz stavkasi
","
2 yil ","
1 000 000dan - 50 000 000 so'mgacha ",/uz/credit/onlayn-mikrozaym
